Id,LotFrontage,OverallQual,GarageCars,log_price,log_total_sf,has_2nd,has_bsmt,has_garage,has_pool,has_central_air,has_fireplace,house_age,remod_age,total_porch_sf,neighbor_log_price_stdscaled,year_price,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,Street_Pave,Utilities_NoSeWa,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sev,Functional_Typ
21,101.0,8,3,12.692503112461443,8.170185652879642,1,1,1,0,1,1,1,0,154,1.731713459407749,234915.0871160143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
22,57.0,7,1,11.845102777308561,7.4645098346365275,0,1,1,0,1,1,77,57,205,-1.7136305249647916,150430.90634920634,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
23,75.0,8,2,12.345834587905333,8.18088094199639,0,1,1,0,1,1,6,6,159,0.39247717220266787,223604.5063768116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
24,44.0,5,2,11.77452020265869,7.649692623711514,0,1,1,0,1,1,31,31,110,-1.6324329813771061,166794.83143939395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
25,,5,1,11.944707881395766,7.659171367666058,0,1,1,0,1,1,42,9,90,-0.6423515645075161,152669.10079365078,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
26,110.0,8,3,12.454103912352162,8.060224240440958,0,1,1,0,1,1,2,2,56,1.731713459407749,270977.6532029708,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
27,60.0,5,2,11.811547477460344,7.495541943884256,0,1,1,0,1,0,59,10,32,-0.47610512824902335,126577.15333333335,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
28,98.0,8,3,12.631340380934517,8.133880887949207,0,1,1,0,1,1,3,2,50,1.731713459407749,270977.6532029708,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
29,47.0,5,1,12.24288661865289,8.03398273468322,0,1,1,0,1,1,49,9,258,-0.47610512824902335,143518.09522893775,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
30,60.0,4,1,11.134589024250317,6.946975992135418,0,1,1,0,0,0,81,58,87,-1.0294588048578504,124911.7757936508,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
31,50.0,4,1,10.596634733096073,7.583756300707112,1,1,1,0,0,0,88,58,226,-1.7136305249647916,138041.78571428574,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
32,,5,1,11.914047823644255,7.806289289267033,0,1,1,0,1,0,42,2,65,-0.6423515645075161,156596.2472222222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
33,85.0,8,2,12.100156419938624,7.811163385025279,0,1,1,0,1,0,1,1,30,0.39247717220266787,270977.6532029708,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
34,70.0,5,2,12.016726473799254,8.038512020976814,0,1,1,0,1,1,51,51,38,-0.47610512824902335,149731.8005860806,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
35,60.0,9,2,12.533576212168626,8.046229101075378,0,1,1,0,1,1,2,2,47,1.731713459407749,234915.0871160143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
36,108.0,8,3,12.641096555879882,8.18004072349016,1,1,1,0,1,1,2,1,32,1.731713459407749,229216.45322071706,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
37,112.0,5,2,11.884489021402711,7.693481640835175,0,1,1,0,1,0,15,14,64,0.39247717220266787,241140.11000502767,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
38,74.0,5,2,11.938193200374572,7.860956364876389,0,1,1,0,1,1,55,19,0,-0.47610512824902335,133341.96702380953,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
39,68.0,5,1,11.59910316121128,7.656337166430183,0,1,1,0,1,0,57,3,52,-0.47610512824902335,133499.82416666666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
40,65.0,4,0,11.314474526246391,7.049254841255837,0,0,0,0,0,0,53,53,0,-0.9337105223835053,141254.06702380953,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
41,84.0,6,2,11.982929094215963,7.788211557847076,0,1,1,0,1,1,41,41,138,-0.47610512824902335,152061.8722222222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
42,115.0,5,1,12.043553716032399,7.8928255262511176,0,1,1,0,1,1,48,48,104,0.9796115678726318,149731.8005860806,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
43,,5,2,11.877568578558138,7.452402451223638,0,1,1,0,1,0,24,24,0,0.17811488445133122,183838.22222222222,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
44,,5,1,11.777210959615614,7.53689712956617,0,1,1,0,1,0,33,28,0,0.39247717220266787,162482.33143939395,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
45,70.0,5,1,11.856515169360305,7.7406644019172415,0,1,1,0,1,0,47,47,0,-0.47610512824902335,149731.8005860806,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
46,61.0,9,2,12.675763725937609,8.161660452056282,0,1,1,0,1,1,5,5,82,1.731713459407749,234915.0871160143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
47,48.0,7,2,12.387085012375499,8.183955717304954,1,1,1,0,1,1,6,6,241,-0.28245569972752177,227387.36366847827,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
48,84.0,8,3,12.428015476267865,8.10530751550515,0,1,1,0,1,0,1,1,146,0.7828563712623556,259203.19764741528,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
49,33.0,4,0,11.635143097694478,7.690743163541872,1,1,0,0,1,0,89,1,102,-0.958532470213485,138041.78571428574,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
50,66.0,5,1,11.751942365440728,7.554858521040676,0,1,1,0,1,0,41,41,0,-0.6423515645075161,156596.2472222222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
51,,6,2,12.083905011555967,7.724888439323074,1,1,1,0,1,0,10,10,75,0.36944593594471153,233469.36622222225,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
52,52.0,6,2,11.648330101976432,7.397561535524052,0,1,1,0,1,1,72,56,0,-1.0294588048578504,175949.47777777776,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
53,110.0,5,2,11.608235644774552,7.397561535524052,0,1,1,0,0,0,47,47,0,-1.7136305249647916,148800.19010025062,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
54,68.0,9,3,12.86099861326992,8.211754397375197,0,1,1,0,1,1,25,19,72,0.9229606353397185,176975.3777777778,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
55,60.0,5,2,11.77528972943772,7.463936604468925,0,1,1,0,1,1,52,52,50,-0.47610512824902335,141254.06702380953,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
56,100.0,6,2,12.103486056755072,7.955074273262696,0,1,1,0,1,1,44,44,407,-0.47610512824902335,152742.7932748538,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
57,24.0,8,2,12.058152515453552,7.904334842085095,1,1,1,0,1,0,10,9,0,0.7828563712623556,219877.27733333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
58,89.0,7,2,12.188417710291453,7.855544677915663,1,1,1,0,1,0,2,2,70,0.39247717220266787,229216.45322071706,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
59,66.0,10,3,12.991753427493052,8.379079889286603,1,1,1,0,1,1,0,0,37,1.6320272206060864,259203.19764741528,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
60,60.0,5,1,11.73526869611367,7.352441100243583,0,1,1,0,1,0,36,36,0,0.39247717220266787,145897.5872859025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
61,63.0,6,2,11.970350312009105,7.7475968386928855,0,1,1,0,1,0,2,2,50,0.17811488445133122,229216.45322071706,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
62,60.0,5,1,11.522875795823397,7.403061091090091,1,1,1,0,0,0,87,11,144,-1.7136305249647916,138041.78571428574,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
63,44.0,8,2,12.218495165528731,7.9157131993821155,0,1,1,0,1,1,1,1,49,1.731713459407749,259203.19764741528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
64,50.0,7,2,11.84939770159144,7.734558844354756,1,1,1,0,1,0,89,60,75,-0.958532470213485,135443.21428571426,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
65,,7,2,12.299107511497363,8.036249942132116,1,1,1,0,1,0,12,11,36,0.39247717220266787,233469.36622222225,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
66,76.0,8,3,12.666657052859417,8.193123721512068,1,1,1,0,1,1,3,2,151,1.731713459407749,229216.45322071706,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
67,,7,2,12.100712129872347,8.331827004436057,0,1,1,0,1,1,40,21,0,-0.47610512824902335,146767.71585733106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
68,72.0,7,2,12.328290278254423,7.983440063006542,0,1,1,0,1,0,4,4,29,0.39247717220266787,227387.36366847827,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
69,47.0,4,1,11.289781913656018,7.309212365692763,0,1,1,0,1,0,65,60,0,-0.958532470213485,131200.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
70,81.0,7,2,12.323855681186558,8.186185994226083,1,1,1,0,1,1,53,53,135,0.6165562615551607,133499.82416666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
71,95.0,7,2,12.404923504275338,8.399760094524142,0,1,1,0,1,1,34,34,0,-0.47610512824902335,150821.75395256915,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
72,69.0,4,2,11.771436160121729,7.432483807917119,0,1,1,0,1,0,25,1,0,-0.28245569972752177,178518.22222222222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
73,74.0,7,2,12.128111104060462,7.843848638152472,1,1,1,0,1,1,11,11,385,0.36944593594471153,223183.81066666666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
74,85.0,5,2,11.883799128308773,7.683403681053826,0,1,1,0,1,0,56,7,0,-0.47610512824902335,133341.96702380953,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
75,60.0,3,1,11.584315461056901,7.801800401908973,1,1,1,0,0,0,95,60,202,-0.958532470213485,124018.55714285714,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
76,21.0,4,1,11.418614785498987,7.27931883541462,1,1,1,0,1,0,36,36,101,-1.6324329813771061,150821.75395256915,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
77,,4,1,11.818570237796182,7.55171221535131,0,1,1,0,1,0,52,52,0,-0.47610512824902335,140623.2336904762,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
78,50.0,5,1,11.751942365440728,7.579167967396076,1,1,1,0,1,0,60,7,0,-1.0294588048578504,123383.62380952381,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
79,72.0,4,0,11.824079893607152,8.170751423757535,0,1,0,0,0,0,42,42,0,-0.6423515645075161,152669.10079365078,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
80,60.0,5,2,11.608235644774552,7.4205789054108005,1,1,1,0,1,0,99,28,128,-0.958532470213485,135985.14509803924,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
81,100.0,6,1,12.173032791451973,8.018954683155718,1,1,1,0,1,1,41,41,324,-0.47610512824902335,152669.10079365078,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
82,32.0,6,2,11.941455846009388,7.853216388156072,0,1,1,0,1,0,8,8,199,-0.28245569972752177,223183.81066666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
83,78.0,8,3,12.409013489526863,8.047509510981422,0,1,1,0,1,1,1,1,99,0.7828563712623556,270977.6532029708,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
84,80.0,5,2,11.747997587149712,7.6638772587034705,0,1,1,0,1,0,47,47,0,-0.47610512824902335,148888.40163871218,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
85,,7,2,12.034691028774553,7.527255919373784,1,1,1,0,1,1,14,13,72,0.36944593594471153,240448.18692810455,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
86,121.0,8,2,12.468436909997665,8.217438537730187,1,1,1,0,1,1,15,14,82,1.8979943294491743,224593.02111613876,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
87,122.0,6,2,12.066810578196666,7.716015266642587,1,1,1,0,1,1,4,4,38,0.36944593594471153,234915.0871160143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
88,40.0,6,2,12.010665849187564,7.515344571180436,1,1,1,0,1,0,0,0,234,0.7828563712623556,303927.8625779708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
89,105.0,3,0,11.350406535472453,7.613818684808629,0,1,0,0,0,0,94,27,156,-1.7136305249647916,124018.55714285714,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
90,60.0,4,0,11.724805824005728,7.590852123688581,0,1,0,0,1,0,13,12,0,0.39247717220266787,241140.11000502767,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
91,60.0,4,2,11.607326140391713,6.946975992135418,0,0,1,0,1,0,56,56,29,-0.47610512824902335,124863.34380952381,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
92,85.0,5,2,11.498826540590727,7.8119734296220225,0,1,1,0,1,0,45,45,0,-0.47610512824902335,148933.19330537884,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
